area,year,gender,age_group,n_at_risk
ER4 Kuopio University Hospital specific catchment area,2017,Females,0-12,51110
ER4 Kuopio University Hospital specific catchment area,2017,Females,13-17,20440
ER4 Kuopio University Hospital specific catchment area,2017,Males,0-12,53077
ER4 Kuopio University Hospital specific catchment area,2017,Males,13-17,21477
ER4 Kuopio University Hospital specific catchment area,2017,Total,0-12,104187
ER4 Kuopio University Hospital specific catchment area,2017,Total,13-17,41917
ER4 Kuopio University Hospital specific catchment area,2018,Females,0-12,50036
ER4 Kuopio University Hospital specific catchment area,2018,Females,13-17,20353
ER4 Kuopio University Hospital specific catchment area,2018,Males,0-12,52116
ER4 Kuopio University Hospital specific catchment area,2018,Males,13-17,21351
ER4 Kuopio University Hospital specific catchment area,2018,Total,0-12,102152
ER4 Kuopio University Hospital specific catchment area,2018,Total,13-17,41704
ER4 Kuopio University Hospital specific catchment area,2019,Females,0-12,48805
ER4 Kuopio University Hospital specific catchment area,2019,Females,13-17,20408
ER4 Kuopio University Hospital specific catchment area,2019,Males,0-12,50651
ER4 Kuopio University Hospital specific catchment area,2019,Males,13-17,21383
ER4 Kuopio University Hospital specific catchment area,2019,Total,0-12,99456
ER4 Kuopio University Hospital specific catchment area,2019,Total,13-17,41791
ER4 Kuopio University Hospital specific catchment area,2020,Females,0-12,47752
ER4 Kuopio University Hospital specific catchment area,2020,Females,13-17,20539
ER4 Kuopio University Hospital specific catchment area,2020,Males,0-12,49457
ER4 Kuopio University Hospital specific catchment area,2020,Males,13-17,21536
ER4 Kuopio University Hospital specific catchment area,2020,Total,0-12,97209
ER4 Kuopio University Hospital specific catchment area,2020,Total,13-17,42075
ER5 Oulu University Hospital specific catchment area,2016,Females,0-12,57548
ER5 Oulu University Hospital specific catchment area,2016,Females,13-17,21217
ER5 Oulu University Hospital specific catchment area,2016,Males,0-12,60126
ER5 Oulu University Hospital specific catchment area,2016,Males,13-17,22827
ER5 Oulu University Hospital specific catchment area,2016,Total,0-12,117674
ER5 Oulu University Hospital specific catchment area,2016,Total,13-17,44044
ER5 Oulu University Hospital specific catchment area,2017,Females,0-12,56957
ER5 Oulu University Hospital specific catchment area,2017,Females,13-17,21283
ER5 Oulu University Hospital specific catchment area,2017,Males,0-12,59285
ER5 Oulu University Hospital specific catchment area,2017,Males,13-17,22757
ER5 Oulu University Hospital specific catchment area,2017,Total,0-12,116242
ER5 Oulu University Hospital specific catchment area,2017,Total,13-17,44040
ER5 Oulu University Hospital specific catchment area,2018,Females,0-12,55795
ER5 Oulu University Hospital specific catchment area,2018,Females,13-17,21628
ER5 Oulu University Hospital specific catchment area,2018,Males,0-12,58157
ER5 Oulu University Hospital specific catchment area,2018,Males,13-17,22774
ER5 Oulu University Hospital specific catchment area,2018,Total,0-12,113952
